,Wiki Entity ID,Label,Description,Instance of,Sex or Gender
126,Q104190,Robert Walpole,"British statesman and art collector, 1st Earl of Orford (1676–1745)",Q5,Q6581097
127,Q1041995,Carlo Carlone,painter,Q5,Q6581097
128,Q1042125,Hua Yan,Chinese artist (1682-1756),Q5,Q6581097
129,Q1042163,Carlo Galli da Bibiena,Austrian painter (1728-1787),Q5,Q6581097
130,Q104217200,Giorgio Rancetti,"Florentine goldsmith and medalist, 1558 - 1610",Q5,Q6581097
131,Q104218047,Charles Duron,"French jewelry designer, silversmith, and enameler",Q5,Q6581097
132,Q1042224,Carlo Lasinio,Italian painter,Q5,Q6581097
133,Q104231132,Jacques Fontaine,French artist (1735-),Q5,Q6581097
134,Q104233052,Lizzie Lawson,Scottish painter and illustrator,Q5,Q6581072
135,Q104236535,Lorenzo Maria Weber,"Italian medalist, 1697-ca. 1765",Q5,Q6581097
136,Q1042679,Carlos Alvarado Lang,"printmaker, engraver, professor (1905–1961)",Q5,Q6581097
137,Q104282266,Peter Welling,American photographer,Q5,Q6581097
138,Q10428700,Bernard Kirschenbaum,Swedish-American artist (1924-2016),Q5,Q6581097
139,Q1042892,James Barry,Irish painter (1741–1806),Q5,Q6581097
140,Q1043100,Carlos Santiago Mérida,Guatemalan artist (1891-1984),Q5,Q6581097
141,Q1043110,Carlos Orozco Romero,artist (1896-1984),Q5,Q6581097
142,Q104318,Wilhelm Heinrich Ludwig Gruner,German copperplate engraver (1801–1882),Q5,Q6581097
143,Q104346921,Pierre Dupin,French engraver,Q5,Q6581097
144,Q104385989,Piet L. Spoor,Belgian photographer,Q5,Q6581097
145,Q104392163,George Aden Ahgupuk,Eskimo artist (1911-2001),Q5,Q6581097
146,Q104413225,Grace Knowlton,American sculptor,Q5,Q6581072
147,Q104414325,Gérard Pipart,French fashion designer,Q5,Q6581097
148,Q104419266,James Godwin,,Q5,Q6581097
149,Q104420052,Francis Bassett,"American pewterer, 1690-1758",Q5,Q6581097
150,Q1044457,Caroline Blackwood,English writer (1931–1996),Q5,Q6581072
151,Q104512735,Bernard Perrot,"French painter, glassworker, and ceramicist, 1619-1709",Q5,Q6581097
152,Q1045182,Carroll Dunham,American artist,Q5,Q6581097
153,Q1045300,Cheng Yanqiu,Chinese opera singer (1904-1958),Q5,Q6581097
154,Q104532719,Leah Balsham,US lithographer and ceramic artist,Q5,Q6581072
155,Q104537018,Andrew Standing-Soldier,Sioux artist,Q5,Q6581097
