,Wiki Entity ID,Label,Description,Instance of,Sex or Gender
8835,Q26921408,Alfred Chantrey Corbould,British painter and illustrator,Q5,Q6581097
8836,Q234503,Nina Ricci,Italian fashion designer,Q5,Q6581072
8837,Q45543578,Lu Zhi,Chinese artist (1496-1576),Q5,Q6581097
8838,Q25998400,Archibald L. Dick,"American engraver, ca. 1805-ca. 1855",Q5,Q6581097
8839,Q946578,Francis Seymour Haden,British artist (1818–1910),Q5,Q6581097
8840,Q5560404,Gijs Bakker,Dutch jewelry designer,Q5,Q6581097
8841,Q90247,Wenzel Jamnitzer,German artist (1508-1585),Q5,Q6581097
8842,Q2286906,Joseph-Siffred Duplessis,French painter (1725-1802),Q5,Q6581097
8843,Q2959962,Charles Peale Polk,American artist (1767-1822),Q5,Q6581097
8844,Q65922701,Geladakis Painter,"Ancient Corinthian-Greek vase-painter of the black-figure style , active ca. 600-ca. 575 BCE",Q5,
8845,Q21874982,Anton Birkhart,German/Czech engraver,Q5,Q6581097
8846,Q5058013,Celia Paul,Indian-born British artist,Q5,Q6581072
8847,Q28144,Willem Kalf,painter from the Northern Netherlands (1619–1693),Q5,Q6581097
8848,Q3372335,Paul Vaillant-Couturier,French journalist and politician (1892–1937),Q5,Q6581097
8849,Q3179450,Joachim Costa,French sculptor (1888-1971),Q5,Q6581097
8850,Q21995347,Tom Lieber,male artist from the United States (born 1949),Q5,Q6581097
8851,Q6871281,Miné Okubo,American artist and writer (1912-2001),Q5,Q6581072
8852,Q55681353,Robert Reyher,,Q5,Q6581097
8853,Q52051066,John Charles Bromley,"British mezzotint engraver, illustrator and painter, 1795-1839",Q5,Q6581097
8854,Q37845568,Paul Frenzeny,French-born American artist,Q5,Q6581097
8855,Q56811490,Anna R Findlay,British artist and printmaker (1885 -1968),Q5,Q6581072
8856,Q1894088,Marcus Behmer,"German writer and book artist, illustrator, graphic designer and painter (1879-1958)",Q5,Q6581097
8857,Q30930119,Josen Hamada,,Q5,
8858,Q731030,Ni Zan,Chinese painter (1301-1374),Q5,Q6581097
8859,Q216004,Thomas Theodor Heine,German artist (1867–1948),Q5,Q6581097
8860,Q5668975,Harry Furniss,Irish artist and illustrator (1854–1925),Q5,Q6581097
8861,Q21994073,Frederic M. Grant,American painter (1886–1959),Q5,Q6581097
8862,Q7914695,Vanessa Noel,American fashion designer and hotelier,Q5,Q6581072
8863,Q58812943,Daniel Meyer,painter and etcher,Q5,Q6581097
8864,Q311528,Adam of Fulda,German composer and music theorist,Q5,Q6581097
8865,Q3262302,Louis Jaley,French medallist and engraver,Q5,Q6581097
8866,Q2578459,Giuliano Bugiardini,Italian painter,Q5,Q6581097
8867,Q344838,Winslow Homer,American landscape painter (1836–1910),Q5,Q6581097
8868,Q5504879,Fritz Bultman,American artist (1919-1985),Q5,Q6581097
8869,Q43127500,Guido Biasi,,Q5,Q6581097
8870,Q956459,Jules Janin,French writer and critic (1804–1874),Q5,Q6581097
8871,Q3473635,Sarkis Katchadourian,Armenian painter (1886-1947),Q5,Q6581097
8872,Q4773770,Anthony de Francisci,American artist (1887-1964),Q5,Q6581097
8873,Q704356,Carlo Fontana,Italian architect (1634/1638–1714),Q5,Q6581097
8874,Q355566,Jacob Lawrence,African American painter and art professor (1917-2000),Q5,Q6581097
8875,Q296076,Félix Faure,7th President of the French Republic (1841–1899),Q5,Q6581097
8876,Q53503197,Otto Knirsch,,Q5,Q6581097
8877,Q3579781,Édouard Colonna,goldsmith (1862-1948),Q5,Q6581097
8878,Q2470305,Briton Rivière,British artist of Huguenot descent (1840-1920),Q5,Q6581097
8879,Q555498,Christer Strömholm,Swedish photographer (1918-2002),Q5,Q6581097
8880,Q55887749,Charles Auguste Boehmer,,Q5,Q6581097
8881,Q6258207,John Smart,English painter of portrait miniatures (1741-1811),Q5,Q6581097
8882,Q2846428,Andrea de Litio,15th century Italian painter (c.1420-c.1495),Q5,Q6581097
8883,Q892,J. R. R. Tolkien,British writer and philologist (1892–1973),Q5,Q6581097
8884,Q5576419,Godfrey Douglas Giles,British artist (1857-1941),Q5,Q6581097
8885,Q20706237,Robert Lowe,British painter,Q5,Q6581097
8886,Q577044,Jacob Matham,engraver from the Northern Netherlands,Q5,Q6581097
8887,Q7235703,Pouran Jinchi,contemporary Iranian artist,Q5,Q6581072
8888,Q777623,Isaak Tirion,Publisher from the Northern Netherlands,Q5,Q6581097
8889,Q3840231,Luigi Valadier,Italian goldsmith and jeweler (1726-1785),Q5,Q6581097
8890,Q2034402,Federico Frezzi,Italian bishop (c. 1346-1416),Q5,Q6581097
8891,Q577242,Alfred Leslie,American artist (1927–2023),Q5,Q6581097
8892,Q30018316,Auguste Alexandre Guillaumot,,Q5,Q6581097
8893,Q40939,Aeschylus,ancient Athenian playwright,Q5,Q6581097
8894,Q767735,Augustin Dupré,French engraver,Q5,Q6581097
8895,Q5082024,Charles Richard Weld,English writer,Q5,Q6581097
8896,Q5728006,Henry Sargant Storer,British artist,Q5,Q6581097
8897,Q3140481,Horace de Viel-Castel,French historian (1802-1864),Q5,Q6581097
8898,Q966300,Skunder Boghossian,Ethiopian artist (1937-2003),Q5,Q6581097
8899,Q541188,Travis Banton,American fashion designer (1894–1958),Q5,Q6581097
8900,Q2175572,Aert Schouman,painter from the Northern Netherlands (1710-1792),Q5,Q6581097
8901,Q734108,Gaudenzio Ferrari,Italian painter (1475–1546),Q5,Q6581097
8902,Q21481741,Giuseppe Signorini,Italian painter (1857-1932),Q5,Q6581097
8903,Q921242,Stefano della Bella,"engraver, printmaker (1610-1664)",Q5,Q6581097
8904,Q43078535,Betsy Damon,American artist and activist,Q5,Q6581072
8905,Q6150132,Jan Vincentsz van der Vinne,18th century painter from the Northern Netherlands (1663-1721),Q5,Q6581097
8906,Q43136622,Victor Schrager,US photographer,Q5,Q6581097
8907,Q3107021,Giovanni Balducci,Italian mannerist painter (1560-1631),Q5,Q6581097
8908,Q239303,Art Institute of Chicago,"art museum and school in Chicago, United States",Q3196771,
8909,Q18560536,George Pieter Westenberg,Dutch painter,Q5,Q6581097
8910,Q2086704,Willem Danielsz van Tetrode,Dutch sculptor,Q5,Q6581097
8911,Q19361269,Charles Beale,English painter (1660-1714),Q5,Q6581097
8912,Q55218922,Marcia Herscovitz,American artist (born 1945),Q5,Q6581072
8913,Q56007200,Louis Michel Petit,,Q5,Q6581097
8914,Q707682,Amasis Painter,Greek vase painter,Q5,
8915,Q5078957,Charles Henry Miller,American artist (1842-1922),Q5,Q6581097
8916,Q1995312,Unkoku Tōgan,Japanese painter (1547-1618),Q5,Q6581097
8917,Q5371950,Emilio Sánchez Font,Cuban artist (1921-1999),Q5,Q6581097
8918,Q5563693,Giovanni Bastianini,Italian artist (1830-1868),Q5,Q6581097
8919,Q55219232,Robert F. Haiko,"American, born 1942; artist",Q5,Q6581097
8920,Q43134851,John Connell Ogle,,Q5,Q6581097
8921,Q2465260,Bertien van Manen,Dutch photographer (1935–2024),Q5,Q6581072
8922,Q504,Émile Zola,"French journalist, playwright and poet (1840–1902)",Q5,Q6581097
8923,Q81003794,Fred G. Cooper,American illustrator,Q5,Q6581097
8924,Q21497714,Charles Caleb Ward,Canadian painter,Q5,Q6581097
8925,Q22116834,In Kie Whang,Korean artist,Q5,Q6581097
8926,Q440673,Alice Boughton,American photographer (1866–1943),Q5,Q6581072
8927,Q4891021,David Rieff,American writer,Q5,Q6581097
8928,Q54944416,Harold Mallette Dean,"American painter, printmaker, muralist and illustrator",Q5,Q6581097
8929,Q6869688,Mintons,historical English ceramics company,Q4830453,
8930,Q88851,"Prince Henri, Count of Chambord",French Royal (1820–1883),Q5,Q6581097
8931,Q6253111,John Pollard Seddon,English architect (1827-1906),Q5,Q6581097
8932,Q94939222,Alberto Hamerani,Italian goldsmith,Q5,Q6581097
8933,Q4964982,Greta Magnusson-Grossman,Swedish architect,Q5,Q6581072
8934,Q37134,Frederick William III of Prussia,King of Prussia from 1797 to 1840,Q5,Q6581097
8935,Q2959835,Charles Monginot,French painter (1825-1900),Q5,Q6581097
8936,Q28974039,Alfred Jean Garnier,French painter and enameler,Q5,Q6581097
8937,Q6833068,Michael Nicoll Yahgulanaas,Haida comic artist,Q5,Q6581097
8938,Q55124884,Johann Georg Klett,,Q5,Q6581097
8939,Q286456,Émile Schuffenecker,"French painter, art collector and suspected forger (1851-1934)",Q5,Q6581097
8940,Q20737475,Dwinell Grant,American painter,Q5,Q6581097
8941,Q2560998,Werner David Feist,Canadian photographer (1909–1998),Q5,Q6581097
8942,Q960696,Florencio Molina Campos,Argentine artist (1891-1959),Q5,Q6581097
8943,Q3083465,François Joseph Heim,French painter (1787-1865),Q5,Q6581097
8944,Q42734439,John Howe Kent,"American photographer, 1827-1910",Q5,Q6581097
8945,Q232391,Natalia Goncharova,Russian-French artist (1881-1962),Q5,Q6581072
8946,Q77348263,Everardo Ramirez,Mexican drawer,Q5,Q6581097
8947,Q3435548,Robert-Joseph Auguste,French goldsmith and sculptor,Q5,Q6581097
8948,Q20090332,Peter Bradley,American visual artist,Q5,Q6581097
8949,Q285549,Bianca Jagger,Nicaraguan-British human rights activist and socialite,Q5,Q6581072
8950,Q18813619,François Toussaint Foliot,French master joiner in seats,Q5,Q6581097
8951,Q6242249,John Joseph Stockdale,British publisher (1770/76/77 - 1847),Q5,Q6581097
8952,Q529,Louis Pasteur,French chemist and microbiologist (1822-1895),Q5,Q6581097
8953,Q2625013,Utagawa Toyohiro,Japanese artist (1773-1828),Q5,Q6581097
8954,Q21995213,Margaret Foote Hawley,American painter,Q5,Q6581072
8955,Q4719984,Alexander Roux,American furniture designer (1813-1886),Q5,Q6581097
8956,Q52155231,William Henry Shelton,American artist and writer,Q5,Q6581097
8957,Q52154861,Giuseppe Fattori,,Q5,Q6581097
8958,Q330009,Romeo Gigli,Italian fashion designer,Q5,Q6581097
8959,Q3140448,Horace Bristol,American photojournalist (1908–1997),Q5,Q6581097
8960,Q334752,Abu'l-Fazl ibn Mubarak,Grand vizier of Mughal emperor Akbar from 1579 to 1602,Q5,Q6581097
8961,Q74674,Matsusaburō Yokoyama,Japanese photographer and painter (1838-1884),Q5,Q6581097
8962,Q940439,Auguste Vacquerie,French journalist and man of letters (1819–1895),Q5,Q6581097
8963,Q21454137,Albert Alexander Smith,"American graphic artist and painter, 1896-1940",Q5,Q6581097
8964,Q7174048,Paul Fourdrinier,British engraver,Q5,Q6581097
8965,Q45546,William Wordsworth,English Romantic poet (1770–1850),Q5,Q6581097
8966,Q68449847,Joseph Richardson Jr.,American silversmith 1752-1831,Q5,Q6581097
8967,Q98961616,Henry William Batley,"British architect, printmaker, and furniture designer, 1846-1932",Q5,Q6581097
8968,Q20961511,Johann Georg Hertel,German publisher and engraver (1719-1768),Q5,Q6581097
8969,Q833886,Richard Payne Knight,English classical scholar and connoisseur (1750-1824),Q5,Q6581097
8970,Q702789,Soejima Taneomi,Japanese diplomat (1828-1905),Q5,Q6581097
8971,Q320605,Pierre Tal-Coat,French painter (1905-1985),Q5,Q6581097
8972,Q7782184,Theodosius Forrest,British musician (1728-1784),Q5,Q6581097
8973,Q65924766,Robert Dighton,artist,Q5,Q6581097
8974,Q2305074,Jean-Claude Richard de Saint-Non,French painter and printmaker (1727-1791),Q5,Q6581097
8975,Q952938,Ogata Kōrin,"Japanese painter, craftsman (1658-1716)",Q5,Q6581097
8976,Q893627,Boris Bilinsky,Russian scenographer and costume designer (1900–1948),Q5,Q6581097
8977,Q872832,Manfred Mohr,German digital artist,Q5,Q6581097
8978,Q64341,Renée Sintenis,German artist (1888–1965),Q5,Q6581072
8979,Q884266,Ferdinand Piloty,German artist (1786–1844),Q5,Q6581097
8980,Q34540155,Gotō Kōjō,Japanese swordsmith (1529-1620),Q5,Q6581097
8981,Q94416577,Jarvis Frary Hanks,"American artist, 1799-1853",Q5,Q6581097
8982,Q187192,Erik Satie,French composer and pianist (1866-1925),Q5,Q6581097
8983,Q51168582,Valentin le Campion,French engraver and illustrator (1903-1952),Q5,Q6581097
8984,Q22752773,Mariano Sapia,Argentinian painter,Q5,Q6581097
8985,Q3783164,Mair von Landshut,German engraver and painter,Q5,Q6581097
8986,Q3750554,Francesco Rosaspina,Italian engraver (1762-1841),Q5,Q6581097
8987,Q6118862,Jacob Kjær,Furniture designer and cabinetmaker,Q5,Q6581097
8988,Q7599492,Stanley Boxer,American artist (1926-2000),Q5,Q6581097
8989,Q2283832,Jacques Collin de Plancy,"French occultist, demonologist and writer (1794–1881)",Q5,Q6581097
8990,Q3173812,Jean Ouvrier,French engraver,Q5,Q6581097
8991,Q18508337,James Stephanoff,English watercolour painter,Q5,Q6581097
8992,Q6287962,Joseph William Allen,landscape painter (1803-1852),Q5,Q6581097
8993,Q524497,Vincenzo Tamagni,Italian Renaissance painter (1492-1530),Q5,Q6581097
8994,Q2244143,Louis-François Cassas,"French painter, sculptor, architect, archeologist and antiquary (1756-1827)",Q5,Q6581097
8995,Q27921011,Wakasaya Yoichi,Japanese publisher,Q5,Q6581097
8996,Q6524063,Leo Mielziner,American artist,Q5,Q6581097
8997,Q331695,Master of the Death of Absalom,"Dutch artist, active 15th century-16th century",Q5,Q6581097
8998,Q7319337,Rex Whistler,British painter and illustrator (1905-1944),Q5,Q6581097
8999,Q6244476,John Leighton,illustrator (1822-1912),Q5,Q6581097
9000,Q51554937,Jean-Louis Richter,Swiss artist (1766-1841),Q5,Q6581097
9001,Q85094805,Jojakim Cortis,,Q5,Q6581097
9002,Q3029984,Laurent Cars,French painter and engraver (1699-1771),Q5,Q6581097
9003,Q46482725,Henry Robertson Blaney,American artist,Q5,Q6581097
9004,Q61746879,Mark Ruwedel,American landscape photographer and educator,Q5,Q6581097
9005,Q489579,George Lewis,American musician (1900–1968),Q5,Q6581097
9006,Q5076001,Charles C. Ingham,Irish artist (1796-1863),Q5,Q6581097
9007,Q709867,Li Keran,Chinese artist (1907-1989),Q5,Q6581097
9008,Q3131613,Henri Mauperché,French painter (1602-1686),Q5,Q6581097
9009,Q46739,Octavio Paz,"Mexican writer, poet and diplomat (1914–1998)",Q5,Q6581097
9010,Q27918599,Pierce Connelly,American painter,Q5,Q6581097
9011,Q19509449,Arlene Shechet,American artist,Q5,Q6581072
9012,Q19974230,Edwina Leapman,British painter,Q5,Q6581072
9013,Q19574549,Melchior Baumgartner,German cabinetmaker,Q5,Q6581097
9014,Q366380,Allan Kaprow,American artist (1927–2006),Q5,Q6581097
9015,Q3330927,Joseph Henry Sharp,American artist (1859-1953),Q5,Q6581097
9016,Q5047640,Cary Leibowitz,American artist,Q5,Q6581097
9017,Q52149325,Wilhelm Christian Meyer,German sculptor and porcelain designer,Q5,Q6581097
9018,Q213284,Paolo Fiammingo,Flemish-Italian painter (1540-1596),Q5,Q6581097
9019,Q259594,Lyubov Popova,Russian artist (1889-1924),Q5,Q6581072
9020,Q6766680,Mark Beard,American artist,Q5,Q6581097
9021,Q52055411,Robert Blyth,"British engraver, 1750-1784",Q5,Q6581097
9022,Q982274,Marco d'Oggiono,Italian painter (c.1470-c.1540),Q5,Q6581097
9023,Q323110,Gustave Brion,French painter (1824-1877),Q5,Q6581097
9024,Q42088313,"George Fermor, 3rd Earl of Pomfret","British peer, 1768-1830",Q5,Q6581097
9025,Q515796,Justus van Gent,15th century Flemish painter,Q5,Q6581097
9026,Q346599,Richard Henry Horne,English poet and critic; (1802 -1884),Q5,Q6581097
9027,Q7836,René Magritte,Belgian painter and sculptor (1898–1967),Q5,Q6581097
9028,Q7383002,Ruth Gikow,American artist (1915-1982),Q5,Q6581072
9029,Q727974,Pedro De Mena,Spanish artist,Q5,Q6581097
9030,Q551674,Pierre Balmain,French fashion designer (1914–1982),Q5,Q6581097
9031,Q312474,Andriyan Nikolayev,Soviet cosmonaut,Q5,Q6581097
9032,Q203643,James McNeill Whistler,American painter (1834-1903),Q5,Q6581097
9033,Q5565429,Giuseppe Gricci,Italian sculptor (1700-1771),Q5,Q6581097
9034,Q18531319,William Griggs,English inventor of a photolithographic process,Q5,Q6581097
9035,Q3383295,Pierre-Louis Pierson,French photographer (1822–1913),Q5,Q6581097
9036,Q57955133,Pipsan Saarinen Swanson,(1905-1979),Q5,Q6581072
9037,Q55219141,Ray Komai,American artist (born 1918),Q5,Q6581097
9038,Q7793715,Thomas S. Buechner,American artist (1926-2010),Q5,Q6581097
9039,Q962565,Jock Sturges,American photographer,Q5,Q6581097
9040,Q98762496,Elizabeth McAlpine,,Q5,Q6581072
9041,Q2642304,François Levaillant,"French explorer, ornithologist, naturalist, author and zoological collector",Q5,Q6581097
9042,Q5075247,Charles Augustus Howell,Portuguese-born British blackmailer and art dealer,Q5,Q6581097
9043,Q6791664,Matthijs Pool,"Dutch printmaker, publisher and art dealer",Q5,Q6581097
9044,Q552700,Claude Nicolas Ledoux,French Neoclassical architect (1736-1806),Q5,Q6581097
9045,Q6255714,John Ross Macduff,Scottish religious writer,Q5,Q6581097
9046,Q1870137,Lorenz Stöer,German engraver (1530-1621),Q5,Q6581097
9047,Q57940925,Jean Bosq,"French printmaker, active ca. 1830",Q5,Q6581097
9048,Q369770,Ephraim Chambers,English writer and encyclopaedist,Q5,Q6581097
9049,Q4681673,Adelaide Anne Procter,"English poet, songwriter and philanthropist (1825-1864)",Q5,Q6581072
9050,Q921073,Vittorio Zonca,Italian engineer and writer,Q5,Q6581097
9051,Q83029,Gregory XIII,Pope from 1572 to 1585,Q5,Q6581097
9052,Q18618551,Peter Fischli,Swiss sculptor,Q5,Q6581097
9053,Q2253244,Francesco Cairo,Italian painter (1607-1665),Q5,Q6581097
9054,Q8006911,William Closson,American artist (1848-1926),Q5,Q6581097
9055,Q3388130,Pietro Giovanni Abbati,Italian painter and engraver (1683-1745),Q5,Q6581097
9056,Q6014226,Ince and Mayhew,"partnership of furniture designers, upholsterers and cabinetmakers",Q4830453,
9057,Q4725795,Alice Cordelia Morse,"American educator, book cover designer",Q5,Q6581072
9058,Q22669580,Alfred S. Waugh,painter,Q5,Q6581097
9059,Q64355210,Cheney Brothers,American silk manufacturing company,Q4830453,
9060,Q396418,Caspar Scheuren,German painter and illustrator (1810-1887),Q5,Q6581097
9061,Q5565880,Antonio Barile,"Italian artist, 1453-1516",Q5,Q6581097
9062,Q3504712,Francis Bedford,English photographer (1815-1894),Q5,Q6581097
9063,Q20788654,Anton Herzinger,"painter, illustrator and copperplate engraver",Q5,Q6581097
9064,Q18704770,Cesnola Painter,ancient Greek euboean geomatric vase-painter,Q5,Q6581097
9065,Q2140206,Hein Burgers,Dutch painter (1834-1899),Q5,Q6581097
9066,Q218115,Chanel,French fashion house,Q1589009,
9067,Q321358,Ulisse Aldrovandi,Italian naturalist (1522-1605),Q5,Q6581097
9068,Q29616942,Lucien Falize,French jewellery maker in Paris (1839-1897),Q5,Q6581097
9069,Q30133062,Lewis Wolberg,psychoanalyst,Q5,Q6581097
9070,Q2413731,Tadamasa Hayashi,art dealer (1853-1906),Q5,Q6581097
9071,Q552617,William Ernest Henley,"English poet, critic and editor (1849–1903)",Q5,Q6581097
9072,Q94608,William Caxton,"English merchant, diplomat, writer and printer",Q5,Q6581097
9073,Q95307142,Claude Duchet,print dealer and publisher (d. 1585),Q5,Q6581097
9074,Q96746907,Alfred Fortuné Salmon,French printmaker,Q5,Q6581097
9075,Q62572476,Betty Waldo Parish,American painter,Q5,Q6581072
9076,Q3047679,Edme-Jean Pigal,French painter (1798-1872),Q5,Q6581097
9077,Q2738832,Giovanni di ser Giovanni Guidi,Italian painter (1406-1486),Q5,Q6581097
9078,Q239657,Shirley Chisholm,first black woman elected to the United States Congress (1924-2005),Q5,Q6581072
9079,Q573178,Michelangelo Pistoletto,"Italian artist, painter and sculptor",Q5,Q6581097
9080,Q42887030,Richard Learoyd,British photographer,Q5,Q6581097
9081,Q20200849,Jim Sullivan,American artist,Q5,Q6581097
9082,Q288087,Jens Adolf Jerichau,Danish sculptor (1816-1883),Q5,Q6581097
9083,Q2218363,Samuel Hieronymus Grimm,Swiss landscape artist (1733-1794),Q5,Q6581097
9084,Q7416487,Sandow Birk,American illustrator and graphic artist,Q5,Q6581097
9085,Q7261674,Purvis Young,African American artist (1943-2010),Q5,Q6581097
9086,Q52156785,Merle Armitage,American author and book designer,Q5,Q6581097
9087,Q85180,Joseph Edgar Boehm,British sculptor (1834-1890),Q5,Q6581097
9088,Q352870,Joe Rosenthal,American photographer (1911–2006),Q5,Q6581097
9089,Q20711841,Isa Blagden,novelist and poet,Q5,Q6581072
9090,Q18917507,John Forbes Watson,"Scottish physician, botanist and expert on India (1827-1892)",Q5,Q6581097
9091,Q433603,Ma Yuan,Chinese painter from Song Dynasty (1160-1225),Q5,Q6581097
9092,Q3101971,"George Townshend, 1st Marquess Townshend",British Field Marshal and Marquess (1724-1807),Q5,Q6581097
9093,Q68295656,Anthony Rasch,german-American silversmith,Q5,Q6581097
9094,Q938823,Franz Bauer,Austrian microscopist and botanical artist (1758-1840),Q5,Q6581097
9095,Q703458,Julius Schnorr von Carolsfeld,painter from Germany (1794-1872),Q5,Q6581097
9096,Q2714574,Milton Avery,American artist (1885-1965),Q5,Q6581097
9097,Q38785,Mikhail Larionov,Russian artist (1881–1964),Q5,Q6581097
9098,Q30585428,Manley Hopkins,British diplomat and poet,Q5,Q6581097
9099,Q3756559,Gabriele Capello,Italian cabinetmaker (1806–1877),Q5,Q6581097
9100,Q2853753,Antoine Béranger,French lithographer and painter (1785-1867),Q5,Q6581097
9101,Q43138704,Adolphe Terris,,Q5,Q6581097
9102,Q44911,Joseph Maria Olbrich,Austrian architect (1867–1908),Q5,Q6581097
9103,Q22124413,Tsurusawa Tansaku,,Q5,Q6581097
9104,Q26214389,François-Robert Ingouf,"French printmaker, 1747-1812",Q5,Q6581097
9105,Q381458,Christen Købke,Danish artist (1810-1848),Q5,Q6581097
9106,Q2738094,Lucio Massari,Italian painter (1569-1633),Q5,Q6581097
9107,Q333555,"James Harris, 1st Earl of Malmesbury","British diplomat, born 1746",Q5,Q6581097
9108,Q3809607,John Senex,British publisher and cartographer,Q5,Q6581097
9109,Q3031626,Pierre-Nolasque Bergeret,French painter (1782-1863),Q5,Q6581097
9110,Q260057,Francesco Francia,Italian painter (1450-1517),Q5,Q6581097
9111,Q2104325,Jan Preisler,Czech painter and university educator (1872–1918),Q5,Q6581097
9112,Q6037450,Inshō Dōmoto,Japanese artist (1891-1975),Q5,Q6581097
9113,Q18826502,John Malchair,"German artist, violinist and collector of traditional music in Oxford",Q5,Q6581097
9114,Q56612419,Daniel Burnap,American Clock Maker,Q5,Q6581097
9115,Q85834,Max Laeuger,German architect (1864–1952),Q5,Q6581097
9116,Q3378107,Pharamond Blanchard,French painter (1805-1873),Q5,Q6581097
9117,Q75858,Jörg Immendorff,German artist (1945–2007),Q5,Q6581097
9118,Q55900095,Felix A... Joerdens,,Q5,Q6581097
9119,Q21995269,Peter Nadin,American artist and farmer,Q5,Q6581097
9120,Q3592270,Étienne Martellange,architect (1569-1641),Q5,Q6581097
9121,Q1896091,Maria Likarz-Strauss,"Austrian designer, employee of the Wiener Werkstätte (1893–1971)",Q5,Q6581072
9122,Q20859498,Ben-Zion,"Russian/Ukrainian artist painter, printmaker (1897–1987)",Q5,Q6581097
9123,Q346952,Jan Gossaert,Flemish painter (1478–1532),Q5,Q6581097
9124,Q81796,J. M. Barrie,Scottish writer and playwright (1860–1937),Q5,Q6581097
9125,Q527835,James Oglethorpe,"British Army general, founder of the Georgia colony (1696-1785)",Q5,Q6581097
9126,Q52154074,Giacomo Cotta,Italian painter and engraver (1627-1689),Q5,Q6581097
9127,Q261496,Barent Fabritius,Dutch painter (1624-1673),Q5,Q6581097
9128,Q5545843,"George Walpole, 3rd Earl of Orford",British peer (1730-1791),Q5,Q6581097
9129,Q94798281,Joseph Christ,"German artist, 1732-1788",Q5,Q6581097
9130,Q456569,Walafrid Strabo,Carolingian priest (808-849),Q5,Q6581097
9131,Q86346,Bernhard Pankok,German architect and painter (1872-1943),Q5,Q6581097
9132,Q20200825,Lucy Jones,British painter,Q5,Q6581072
9133,Q23770464,Alexander Voet the Elder,Flemish engraver,Q5,Q6581097
9134,Q3388115,Pietro Facchetti,Italian painter (1539-1613),Q5,Q6581097
9135,Q4893938,Bernardo Ortiz de Montellano,writer and literary critic,Q5,Q6581097
9136,Q646145,Heinrich Heidersberger,German photographer (1906–2006),Q5,Q6581097
9137,Q63252888,Lola Pettway,African American artist,Q5,Q6581072
9138,Q1887211,Painter of Munich 1410,Ancient Attic-Greek vase-painter of the black-figure style,Q5,Q6581097
9139,Q2960232,Charles-Louis Simonneau,French copperplate engraver,Q5,Q6581097
9140,Q6259803,John Swete,"clergyman, artist, antiquary, historian, and topographer (1752-1821)",Q5,Q6581097
9141,Q7298,Antonín Dvořák,Czech composer (1841–1904),Q5,Q6581097
9142,Q18685416,Ann Chernow,American artist,Q5,Q6581072
9143,Q6167728,William S. Jewett,19th century American painter (1812-1873),Q5,Q6581097
9144,Q87466,Jan Luyken,Dutch engraver (1649–1712),Q5,Q6581097
9145,Q3839315,Luigi Basiletti,Italian painter (1780-1859),Q5,Q6581097
9146,Q21995297,Ruth Whittier Shute,American painter (1803–1882),Q5,Q6581072
9147,Q2994858,Constant-Joseph Brochart,French painter (1816-1899),Q5,Q6581097
9148,Q326367,Erik Bulatov,Russian artist,Q5,Q6581097
9149,Q6653873,Liu Yong,calligrapher,Q5,Q6581097
9150,Q974230,Félix-Jacques Moulin,French photographer (1802–1879),Q5,Q6581097
9151,Q3090657,Fujiwara no Sadayori,Japanese waka poet,Q5,Q6581097
9152,Q436135,Eyvind Earle,American artist (1916-2000),Q5,Q6581097
9153,Q21994090,James H. Kimberly,"American artist, active 1834-1843",Q5,Q6581097
9154,Q3071892,Filippo Gagliardi,Italian painter (1606-1659),Q5,Q6581097
9155,Q4733608,Alma Thomas,African American Expressionist painter and art educator (1891-1978),Q5,Q6581072
9156,Q2073102,Bertrand Andrieu,French engraver (1761-1822),Q5,Q6581097
9157,Q876636,Karl Hübner,German artist (1814-1879),Q5,Q6581097
9158,Q3163770,Jean-Baptiste Claude Sené,French master joiner in seats (1748-1803),Q5,Q6581097
9159,Q3697719,Cristoforo Stati,Italian sculptor (1556-1619),Q5,Q6581097
9160,Q3440096,Roland Hayes,African American singer (1887–1977),Q5,Q6581097
9161,Q3439545,Roger Vieillard,French illustrator (1907-1989),Q5,Q6581097
9162,Q7293753,Raoul Middleman,American painter,Q5,Q6581097
9163,Q21289406,Louis Fleckenstein,American photographer,Q5,Q6581097
9164,Q550725,William Lescaze,American architect (1896–1969),Q5,Q6581097
9165,Q535,Victor Hugo,"French novelist, poet, dramatist and politician (1802–1885)",Q5,Q6581097
9166,Q22117424,François Marteau,French goldsmith and medailleur,Q5,Q6581097
9167,Q2351090,Shen Quan,Chinese painter (1682-1760),Q5,Q6581097
9168,Q76573,Dankmar Adler,architect (1844-1900),Q5,Q6581097
9169,Q7563000,Sophie Gimbel,American fashion designer,Q5,Q6581072
9170,Q297565,Giacomo Barozzi da Vignola,Italian architect,Q5,Q6581097
9171,Q272572,Fanny Cerrito,Italian ballet dancer (1817-1909),Q5,Q6581072
9172,Q8063909,Zacharias Blyhooft,Dutch painter (1625-1681),Q5,Q6581097
9173,Q241732,Rosa Bonheur,French artist,Q5,Q48270
9174,Q3222703,Spanish Forger,illuminator and art forger,Q5,
9175,Q4912866,Billy Klüver,American engineer,Q5,Q6581097
9176,Q28491659,Alfred Prunaire,French engraver  (1837–1912),Q5,Q6581097
9177,Q2821866,Abraham de Bruyn,Flemish engraver (1539-1587),Q5,Q6581097
9178,Q52155192,Sidney Trefusis Whiteford,English painter,Q5,Q6581097
9179,Q95452008,Jack Shirreff,British printmaker,Q5,Q6581097
